MedicineName,Old price,NewPrice,Quantity,Stars,Rating,Discount,Description
Savlon Disinfectant Antiseptic Liquid,₹310,₹138,1 L,4.5,"(30,758)",55% off,"Buy 3 items, save extra 5%"
Kapiva Karela Jamun Juice | Natural Juice made from Fre...,₹349,₹184,0,4.3,"(3,924)",47% off,"Buy 3 items, save extra 5%"
"Riffway Big Disk Tablets For Energy, Stamina & Muscle G...",₹999,₹143,0,3,(4),85% off,"Buy 3 items, save extra 5%"
Ooplore Titan Gold Gel,"₹2,290",₹849,0,0,0,62% off,Bank Offer
Gynoveda Medohar Guggulu Fat Burner Ayurvedic Tablets F...,"₹1,400",₹782,0,4,(71),44% off,"Buy 3 items, save extra 5%"
HIMALAYA Guduchi,₹165,₹92,0,4.4,"(2,068)",44% off,"Buy 3 items, save extra 5%"
"Viniiglow Botanics Organic Fat Burner Fat Burning Oil, ...",₹499,₹196,0,0,0,60% off,Bank Offer
AWROK Power Gen Sanda Ayurvedic Men's X Power Aroma Mas...,₹999,₹439,0,3.3,(11),56% off,Bank Offer
"VITASTA Ayurvedic capsule for sexual power.napunsakta,s...","₹1,999",₹291,0,3.3,(11),85% off,Bank Offer
ARISH BIO-NATURAL Haldi neem antiseptic Antiseptic Crea...,₹250,₹180,50 ml,4.5,"(1,795)",28% off,Bank Offer
Kapiva Pure Tulsi Ark (Helps Boost Immunity) - 30 Ml,₹320,₹168,0,4.4,(281),47% off,"Buy 3 items, save extra 5%"
Kapiva Dia Free Juice - Controls Blood Sugar Levels | A...,₹549,₹355,0,4.3,"(1,764)",35% off,"Buy 3 items, save extra 5%"
VEDIVA Growth On Powder for perfect height,"₹2,000","₹1,590",Pack of 2,3.6,(42),20% off,Bank Offer
Baidyanath Brahmi Bati (Buddhi Vardhak) - 30 Tab,₹105,₹58,0,4.1,(752),44% off,"Buy 3 items, save extra 5%"
Kapiva Aloe Vera + Wheatgrass Juice Natural Detoxifier ...,₹450,₹244,0,4.3,"(23,833)",45% off,#1 Rated
Gynoveda Anti Acne Ayurvedic Medicine. Manjistha Blood ...,₹800,₹483,0,4.1,(149),39% off,"Buy 3 items, save extra 5%"
Kapiva Hair Care Juice & Bhringraj Hair Nourish Oil | F...,"₹1,298",₹510,0,4.9,(11),60% off,"Buy 3 items, save extra 5%"
inlazer Golden Jack Ashwagandha Tablet Ultimate Male S-...,₹999,₹143,0,0,0,85% off,"Buy 3 items, save extra 5%"
"wvhc Ayurvedic sanda sexual power oil , gel Japanilong ...",₹999,₹430,0,4.5,(14),56% off,Bank Offer
New Shama WAJID ALI SHAH TILA,₹225,₹180,0,3.9,(85),20% off,Bank Offer
Kapiva Digesti Care Juice - Provides Relief From Acidit...,₹549,₹307,0,4,(384),44% off,Bank Offer
Dharmani's International Long Looks,₹498,₹354,0,3.7,"(7,262)",28% off,Bank Offer
Vadit organics Power gen xtra oil to boost Sex TIMING/S...,₹750,₹184,0,0,0,75% off,Bank Offer
VITASTA VIGOR SHILAJIT 30 CAPSULES,"₹1,399",₹304,0,3.8,(9),78% off,Bank Offer
Dr. Vaidya's Shilajit Gold and Shilajit Oil For Extra P...,₹950,₹584,0,3.9,(305),38% off,Bank Offer
Dabur Chyawanprakash,₹415,₹280,900 g,4.5,"(15,153)",32% off,#2 Rated
SBL Agnus Castus 200 CH Dilution,₹200,₹142,2 x 30 ml,4.4,(14),28% off,Bank Offer
69 Products Ayuvedic Japani Double Power Capsules For M...,"₹3,000","₹1,249",0,0,0,58% off,Bank Offer
Dr Chopra SANDA AROMA MASSEGE OIL,₹299,₹74,0,3.4,(5),75% off,Bank Offer
Vadit organics Performance Booster Oil in Night Act 100...,₹499,₹221,0,4,(3),55% off,Bank Offer
Kapiva Hair Care Juice| For Hair Nourishment from Withi...,"₹1,398",₹753,Pack of 2,4.1,(810),46% off,Bank Offer
Dabur Chyawanprash Awaleha,0,₹395,0,4.5,"(56,430)",0,#2 Rated
Dr. Vaidya's MyPrash Sugar-free Chyawanprash for Diabet...,₹749,₹159,0,4.5,(682),78% off,Bank Offer
"INSTANT VEDA Ashwagandha Capsules | For Men, Women & Te...",₹599,₹301,0,4.1,"(1,363)",49% off,Bank Offer
Kapiva Amla Juice Pack of 2 | Boosts Skin & Hair Health,₹598,₹339,Pack of 2,4.3,(86),43% off,"Buy 3 items, save extra 5%"
Gynoveda Women 16+ Skin Repair. AMLA Ayurvedic Tablets....,₹700,₹179,0,3.9,(40),74% off,"Buy 3 items, save extra 5%"
Relispray Nitron Pain Relief Cooling Spray Spray,₹200,₹127,48 g,4.2,(343),36% off,"Buy 3 items, save extra 5%"
DR. THANGS Batnashak Batika tablet Pack of 2,₹500,₹300,Pack of 2,4.7,(20),40% off,Bank Offer
SBL ClearStone Drops,₹465,₹286,3 x 30,4.3,(575),38% off,Bank Offer
Dr Chopra DR Chopra kama-Sutra Extra Gold 60 Capsule,"₹2,500",₹308,0,2.8,(6),87% off,Bank Offer
Savlon Disinfectant Antiseptic Liquid,₹310,₹138,1 L,4.5,"(30,758)",55% off,"Buy 3 items, save extra 5%"
